P_CODE,MMI_MAX,MMI_MEAN
C-BAG-23-001,7.80,7.63
C-BAG-23-002,7.76,7.59
C-BAG-23-003,7.70,7.58
C-BAG-23-004,7.41,7.36
C-BAG-23-005,7.62,7.37
C-BAG-23-006,7.43,7.35
C-BAG-23-007,7.36,7.20
C-BAG-23-008,7.52,7.42
C-BAG-23-009,7.74,7.67
C-BAG-23-010,7.68,7.60
C-BAG-23-011,7.39,7.35
C-BAG-23-012,7.66,7.55
C-BAG-23-013,7.47,7.36
C-BAG-23-014,7.72,7.60
C-BAG-23-015,7.40,7.32
C-BAG-23-016,7.58,7.45
C-BAG-23-017,7.83,7.71
C-BAG-23-018,7.54,7.49
C-BAG-23-019,7.44,7.22
C-BAG-23-020,7.52,7.42
C-BAG-23-021,7.36,7.31
C-BAG-23-022,7.48,7.32
C-BAG-23-023,7.40,7.37
C-BAG-23-024,7.39,7.12
C-BAG-23-025,7.38,6.95
C-BAG-23-026,7.34,7.29
C-BAG-23-027,7.53,7.34
C-BAG-23-028,7.69,7.56
C-BAG-23-029,7.35,7.23
C-BAG-23-030,7.51,7.37
C-BAG-23-031,7.70,7.59
C-BAG-23-032,7.56,7.42
C-BAG-23-033,7.64,7.52
C-BAG-23-034,7.62,7.45
C-BAG-23-035,7.64,7.53
C-BAG-23-036,7.66,7.55
C-BAG-23-037,7.55,7.36
C-BAG-23-038,7.59,7.37
C-BAG-23-039,7.67,7.55
C-BAG-23-040,7.71,7.60
C-BAG-23-041,7.42,7.38
C-BAG-23-042,7.91,7.67
C-BAG-23-043,7.36,7.23
C-BAG-23-044,7.59,7.46
C-BAG-23-045,7.55,7.39
C-BAG-23-046,7.52,7.41
C-BAG-23-047,7.53,7.29
C-BAG-23-048,7.64,7.48
C-BAG-23-049,7.32,7.17
C-BAG-23-050,7.59,7.46
C-BAG-23-051,7.51,7.44
C-BAG-23-052,7.58,7.51
C-BAG-23-053,7.44,7.32
C-BAG-23-054,7.49,7.46
C-BAG-23-055,7.76,7.59
C-BAG-23-056,7.43,7.39
C-BAG-23-057,7.39,7.37
C-BAG-23-058,7.80,7.61
C-BAG-23-059,7.71,7.65
C-BAG-23-060,7.46,7.37
C-BAG-23-061,7.80,7.66
C-BAG-23-062,7.55,7.50
C-BAG-23-063,7.76,7.61
C-BAG-23-064,7.54,7.43
C-BAG-23-065,7.61,7.50
C-BAG-23-066,7.60,7.45
C-BAG-23-067,7.58,7.48
C-BAG-23-068,7.31,7.12
C-BAG-23-069,7.54,7.43
C-BAG-23-070,7.41,7.40
C-BAG-23-071,7.59,7.52
C-BAG-23-072,7.43,7.36
C-BAG-23-073,7.33,7.26
C-BAG-23-074,7.67,7.57
C-BAG-23-075,7.67,7.59
C-BAG-23-076,7.63,7.51
C-BAG-23-077,7.74,7.60
C-BAG-23-078,7.52,7.46
C-BAG-23-079,7.52,7.50
C-BAG-24-001,7.90,7.73
C-BAG-24-002,8.06,7.98
C-BAG-24-003,7.95,7.89
C-BAG-24-004,7.75,7.63
C-BAG-24-005,8.26,8.14
C-BAG-24-006,7.99,7.93
C-BAG-24-007,7.70,7.58
C-BAG-24-008,7.95,7.90
C-BAG-24-009,7.80,7.64
C-BAG-24-010,7.85,7.73
C-BAG-24-011,7.81,7.74
C-BAG-24-012,8.08,7.95
C-BAG-24-013,8.01,7.93
C-BAG-24-014,7.76,7.61
C-BAG-24-015,7.69,7.61
C-BAG-24-016,8.10,8.00
C-BAG-24-017,8.00,7.93
C-BAG-24-018,8.38,8.06
C-BAG-24-019,7.99,7.89
C-BAG-24-020,7.95,7.88
C-BAG-24-021,7.97,7.83
C-BAG-24-022,7.83,7.71
C-BAG-24-023,8.06,7.91
C-BAG-24-024,8.02,7.93
C-BAG-24-025,7.70,7.67
C-BAG-24-026,7.79,7.71
C-BAG-24-027,7.76,7.68
C-BAG-24-028,8.16,8.00
C-BAG-24-029,8.18,7.98
C-BAG-24-030,7.84,7.71
C-BAG-24-031,8.22,8.13
C-BAG-24-032,8.42,8.10
C-BAG-24-033,7.78,7.67
C-BAG-24-034,7.99,7.90
C-BAG-24-035,7.94,7.84
C-BAG-24-036,7.91,7.73
C-BAG-24-037,8.04,7.91
C-BAG-24-038,7.95,7.83
C-BAG-24-039,7.79,7.71
C-BAG-24-040,7.98,7.91
C-BAG-24-041,8.01,7.85
C-BAG-24-042,8.01,7.93
C-BAG-24-043,7.96,7.88
C-BAG-24-044,7.86,7.80
C-BAG-24-045,7.98,7.83
C-BAG-24-046,7.81,7.75
C-BAG-24-047,7.90,7.83
C-BAG-24-048,7.82,7.78
C-BAG-24-049,8.08,7.92
C-BAG-24-050,7.90,7.83
C-BAG-24-051,7.84,7.77
C-BAG-24-052,7.84,7.76
C-BAG-24-053,7.97,7.92
C-BAG-24-054,8.01,7.93
C-BAG-24-055,8.26,8.11
C-BAG-24-056,7.75,7.66
C-BAG-24-057,7.98,7.85
C-BAG-24-058,7.99,7.90
C-BAG-24-059,8.01,7.87
C-BAG-24-060,8.19,8.10
C-BAG-24-061,7.66,7.60
C-BAG-24-062,7.98,7.87
C-BAG-24-063,8.18,7.99
C-BAG-24-064,7.80,7.65
C-BAG-24-065,8.15,8.00
C-BAG-24-066,7.97,7.83
C-BAG-24-067,8.01,7.85
C-BAG-24-068,7.77,7.68
C-BAG-24-069,7.84,7.79
C-BAG-24-070,7.97,7.89
C-BAG-24-071,7.95,7.78
C-BAG-24-072,8.03,7.89
C-BAG-24-073,8.19,8.11
C-BAG-24-074,7.71,7.63
C-BAG-24-075,8.24,8.16
C-BAG-24-076,8.23,8.08
C-BAG-24-077,7.75,7.64
C-BAG-24-078,7.79,7.63
C-BAG-24-079,8.10,8.02
C-BAG-24-080,7.79,7.72
C-BAG-24-081,7.83,7.75
C-BAG-24-082,7.98,7.78
C-BAG-24-083,8.03,7.91
C-BAG-24-084,8.07,7.97
C-BAG-24-085,7.73,7.63
C-BAG-24-086,7.96,7.88
C-BAG-24-087,7.96,7.91
C-BAG-24-088,7.81,7.76
C-BAG-24-089,7.97,7.83
C-BAG-24-090,8.16,8.01
C-BAG-25-001,8.19,8.11
C-BAG-25-002,8.08,7.94
C-BAG-25-003,8.14,8.09
C-BAG-25-004,8.19,8.05
C-BAG-25-005,7.79,7.67
C-BAG-25-006,8.17,8.08
C-BAG-25-007,7.77,7.65
C-BAG-25-008,8.06,8.02
C-BAG-25-009,8.05,7.92
C-BAG-25-010,7.96,7.85
C-BAG-25-011,8.12,8.06
C-BAG-25-012,8.07,8.00
C-BAG-25-013,8.05,7.98
C-BAG-25-014,7.80,7.73
C-BAG-25-015,8.12,8.06
C-BAG-25-016,7.94,7.89
C-BAG-25-017,8.20,8.11
C-BAG-25-018,7.75,7.69
C-BAG-25-019,8.09,7.84
C-BAG-25-020,8.06,8.03
C-BAG-25-021,7.81,7.76
C-BAG-25-022,8.15,8.08
C-BAG-25-023,7.91,7.86
C-BAG-25-024,7.85,7.80
C-BAG-25-025,8.05,7.99
C-BAG-25-026,7.60,7.51
C-BAG-25-027,7.87,7.76
C-BAG-25-028,7.94,7.67
C-BAG-25-029,8.14,8.02
C-BAG-25-030,7.79,7.68
C-BAG-25-031,8.18,8.09
C-BAG-25-032,8.10,8.04
C-BAG-25-033,8.13,8.02
C-BAG-25-034,8.28,8.16
C-BAG-25-035,7.74,7.62
C-BAG-25-036,8.14,8.08
C-BAG-25-037,7.84,7.79
C-BAG-25-038,7.71,7.67
C-BAG-25-039,7.80,7.76
C-BAG-25-040,7.79,7.73
C-BAG-25-041,8.15,8.09
C-BAG-25-042,7.95,7.86
C-BAG-26-001,8.09,7.84
C-BAG-26-002,8.01,7.92
C-BAG-26-003,7.89,7.72
C-BAG-26-004,7.78,7.67
C-BAG-26-005,8.02,7.76
C-BAG-26-006,7.89,7.78
C-BAG-26-007,7.93,7.63
C-BAG-26-008,7.84,7.79
C-BAG-26-009,7.73,7.55
C-BAG-26-010,7.82,7.75
C-BAG-26-011,7.87,7.69
C-BAG-26-012,8.02,7.92
C-BAG-26-013,7.86,7.74
C-BAG-26-014,7.97,7.73
C-BAG-26-015,7.83,7.59
C-BAG-26-016,7.88,7.74
C-BAG-26-017,8.08,7.97
C-BAG-26-018,8.05,7.91
C-BAG-27-001,7.76,7.70
C-BAG-27-002,7.79,7.65
C-BAG-27-003,7.75,7.68
C-BAG-27-004,7.59,7.52
C-BAG-27-005,7.68,7.44
C-BAG-27-006,7.79,7.75
C-BAG-27-007,7.66,7.45
C-BAG-27-008,7.79,7.37
C-BAG-27-009,7.55,7.46
C-BAG-27-010,7.69,7.35
C-BAG-27-011,8.12,8.03
C-BAG-27-012,7.62,7.55
C-BAG-27-013,7.84,7.67
C-BAG-27-014,7.81,7.75
C-BAG-27-015,8.07,7.85
C-BAG-27-016,7.87,7.81
C-BAG-27-017,7.59,7.44
C-BAG-27-018,7.73,7.64
C-BAG-27-019,7.79,7.58
C-BAG-27-020,7.87,7.71
C-BAG-27-021,7.50,7.33
C-BAG-27-022,7.84,7.73
C-BAG-27-023,7.94,7.87
C-BAG-27-024,7.65,7.39
C-BAG-27-025,7.76,7.69
C-BAG-27-026,7.51,7.31
C-BAG-27-027,7.55,7.38
C-BAG-27-028,7.92,7.84
C-BAG-27-029,7.67,7.41
C-BAG-27-030,7.87,7.75
C-BAG-27-031,7.97,7.84
C-BAG-27-032,7.82,7.79
C-BAG-27-033,7.76,7.52
C-BAG-27-034,7.74,7.63
C-BAG-27-035,7.70,7.52
C-BAG-27-036,7.81,7.59
C-BAG-27-037,7.90,7.80
C-BAG-27-038,7.72,7.57
C-BAG-27-039,7.81,7.58
C-BAG-27-040,7.86,7.83
C-BAG-27-041,7.75,7.64
C-BAG-27-042,7.72,7.65
C-BAG-27-043,7.70,7.60
C-BAG-27-044,7.76,7.53
C-BAG-27-045,7.71,7.65
C-BAG-27-046,7.60,7.50
C-BAG-27-047,7.74,7.38
C-BAG-27-048,7.83,7.65
C-BAG-27-049,7.59,7.47
C-BAG-27-050,7.76,7.60
C-BAG-27-051,7.88,7.63
C-BAG-27-052,7.71,7.58
C-BAG-27-053,7.65,7.42
C-BAG-27-054,7.87,7.73
C-BAG-27-055,8.14,7.85
C-BAG-27-056,7.85,7.67
C-BAG-27-057,7.76,7.63
C-BAG-27-058,7.81,7.69
C-BAG-27-059,7.80,7.76
C-BAG-28-001,7.68,7.55
C-BAG-28-002,7.51,7.47
C-BAG-28-003,7.57,7.54
C-BAG-28-004,7.82,7.68
C-BAG-28-005,7.61,7.48
C-BAG-28-006,7.70,7.60
C-BAG-28-007,7.49,7.41
C-BAG-28-008,7.99,7.78
C-BAG-28-009,7.89,7.73
C-BAG-28-010,7.61,7.51
C-BAG-28-011,7.83,7.70
C-BAG-28-012,7.70,7.62
C-BAG-28-013,7.79,7.69
C-BAG-28-014,7.94,7.74
C-BAG-28-015,7.58,7.52
C-BAG-28-016,7.72,7.67
C-BAG-28-017,7.63,7.54
C-BAG-28-018,7.93,7.80
C-BAG-28-019,7.51,7.47
C-BAG-28-020,7.76,7.66
C-BAG-28-021,7.49,7.39
C-BAG-28-022,7.72,7.59
C-BAG-28-023,7.46,7.32
C-BAG-28-024,7.82,7.69
C-BAG-28-025,7.81,7.71
C-BAG-28-026,7.68,7.57
C-BAG-28-027,7.70,7.60
C-BAG-28-028,7.69,7.60
C-BAG-28-029,7.63,7.58
C-BAG-28-030,7.58,7.51
