P_CODE,VDC_NAME,DISTRICT,REGION,MMI_MAX,MMI_MAX,POP_2011,POP_2011,POPDEN_2011,POPDEN_2011,HOUSE_WALL_PERCENT_HIGH_RISK,HOUSE_WALL_PERCENT_HIGH_RISK,HOUSE_ROOF_PERCENT_HIGH_RISK,HOUSE_ROOF_PERCENT_HIGH_RISK,HUMAN_POVERTY_INDEX,HUMAN_POVERTY_INDEX,,,,,,,,,,,,,
C-BAG-23-001,Atarpur,Sindhupalchok,Central,7.80,9.03,2182,5.57,93.76,4.52,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-002,Badegau,Sindhupalchok,Central,7.76,8.99,5353,6.23,266.51,5.56,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-003,Bansbari,Sindhupalchok,Central,7.70,8.92,5056,6.18,339.93,5.80,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-004,Banskharka,Sindhupalchok,Central,7.41,8.58,2259,5.60,150.85,4.99,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-005,Baramchi,Sindhupalchok,Central,7.62,8.83,3248,5.86,176.37,5.15,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-006,Bahrabise,Sindhupalchok,Central,7.43,8.61,7117,6.43,678.71,6.49,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-007,Baruwa,Sindhupalchok,Central,7.36,8.53,1831,5.45,13.35,2.58,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-008,Batase,Sindhupalchok,Central,7.52,8.71,4882,6.16,220.46,5.37,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-009,Bhimtar,Sindhupalchok,Central,7.74,8.97,4526,6.10,416.52,6.00,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-010,Bhotasipa,Sindhupalchok,Central,7.68,8.90,4618,6.12,315.67,5.73,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-011,Bhotechaur,Sindhupalchok,Central,7.39,8.55,3551,5.93,168.11,5.10,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-012,BhoteNamlang,Sindhupalchok,Central,7.66,8.87,4752,6.14,294.08,5.66,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-013,Choukati,Sindhupalchok,Central,7.47,8.65,2497,5.67,96.4,4.55,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-014,Choutara,Sindhupalchok,Central,7.72,8.94,5952,6.30,689.71,6.51,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-015,Dhumthang,Sindhupalchok,Central,7.40,8.57,3780,5.97,103.91,4.62,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-016,Dubachour,Sindhupalchok,Central,7.58,8.78,5713,6.27,280.37,5.61,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-017,Fatakshila,Sindhupalchok,Central,7.83,9.07,4286,6.06,361.07,5.86,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
C-BAG-23-018,Fulpingdandagau,Sindhupalchok,Central,7.54,8.73,4802,6.15,255.99,5.52,97.84,9.76,38.69,3.94,38.03,6.57,,,,,,,,,,,,,
