P_CODE,AREA,PERIMETER,DIST_ID,SURVEY_NAM,VDC_ID,DISTRICT,VDC_NAME,VDC_CODE,ZONE_NAME,REGION,HHs2011,POP_2011,Male2011,Female2011,POPDEN_2011
C-BAG-23-001,23272811.27,26698.88159,23,ATTARPUR,1,Sindhupalchok,Atarpur,230001,Bagmati,Central,464,2182,1034,1148,93.76
C-BAG-23-002,20085611.11,22560.16223,23,BANDEGAUN,2,Sindhupalchok,Badegau,230002,Bagmati,Central,1160,5353,2534,2819,266.51
C-BAG-23-003,14874055.65,17567.63481,23,BANSBARI,3,Sindhupalchok,Bansbari,230003,Bagmati,Central,1102,5056,2395,2661,339.93
C-BAG-23-004,14974666.14,16157.74884,23,BANSKHARKA,4,Sindhupalchok,Banskharka,230004,Bagmati,Central,588,2259,1170,1089,150.85
C-BAG-23-005,18416527.24,19547.22572,23,BARAMCHI,5,Sindhupalchok,Baramchi,230005,Bagmati,Central,705,3248,1610,1638,176.37
C-BAG-23-006,10486032.88,16667.30304,23,BARHABISE,6,Sindhupalchok,Bahrabise,230006,Bagmati,Central,1683,7117,3519,3598,678.71
C-BAG-23-007,137133070.9,80098.62703,23,BARUWA,7,Sindhupalchok,Baruwa,230007,Bagmati,Central,487,1831,932,899,13.35
C-BAG-23-008,22144605.05,23270.91232,23,BATASE,8,Sindhupalchok,Batase,230008,Bagmati,Central,1152,4882,2273,2609,220.46
C-BAG-23-009,10866440.25,15291.9248,23,BHIMTAR,9,Sindhupalchok,Bhimtar,230009,Bagmati,Central,892,4526,2084,2442,416.52
C-BAG-23-010,14628895.5,21797.68603,23,BHOTSIPA,10,Sindhupalchok,Bhotasipa,230010,Bagmati,Central,994,4618,2084,2534,315.67
C-BAG-23-011,21122838.68,23505.46051,23,BHOTECHAUR,11,Sindhupalchok,Bhotechaur,230011,Bagmati,Central,792,3551,1783,1768,168.11
C-BAG-23-012,16119475.59,20722.24663,23,BHOTE NAMLANG,12,Sindhupalchok,BhoteNamlang,230012,Bagmati,Central,1074,4752,2266,2486,294.08
C-BAG-23-013,25902702.87,28688.17305,23,CHOKATI,13,Sindhupalchok,Choukati,230013,Bagmati,Central,627,2497,1163,1334,96.4
C-BAG-23-014,8630059.81,15638.44753,23,CHAUTARA,14,Sindhupalchok,Choutara,230014,Bagmati,Central,1618,5952,2907,3045,689.71
C-BAG-23-015,36376956.93,32618.46237,23,DHUMTHANG,15,Sindhupalchok,Dhumthang,230015,Bagmati,Central,851,3780,1798,1982,103.91
C-BAG-23-016,20376757.32,21487.29973,23,DUBACHAUR,16,Sindhupalchok,Dubachour,230016,Bagmati,Central,1375,5713,2773,2940,280.37
C-BAG-23-017,11870387.19,18815.24163,23,PHATAKSILA,17,Sindhupalchok,Fatakshila,230017,Bagmati,Central,894,4286,2138,2148,361.07
C-BAG-23-018,18758489.38,18898.03554,23,PULCHODANDA,18,Sindhupalchok,Fulpingdandagau,230018,Bagmati,Central,1054,4802,2305,2497,255.99
C-BAG-23-019,85357443.82,42888.15155,23,PHULPINGKATTI,19,Sindhupalchok,Fulpingkatti,230019,Bagmati,Central,783,3297,1704,1593,38.63
C-BAG-23-020,20318343.27,23527.13156,23,PHULPINGKOT,20,Sindhupalchok,Fulpingkot,230020,Bagmati,Central,904,3815,1771,2044,187.76
C-BAG-23-021,19250494.35,21684.08678,23,GATI,21,Sindhupalchok,Gati,230021,Bagmati,Central,874,4026,2001,2025,209.14
C-BAG-23-022,28967735.92,24440.90618,23,GHORTHALI,22,Sindhupalchok,Ghorthali,230022,Bagmati,Central,465,1897,950,947,65.49
C-BAG-23-023,16152775.67,19587.55647,23,DHUSKUN,23,Sindhupalchok,Ghuskun,230023,Bagmati,Central,759,2926,1336,1590,181.15
C-BAG-23-024,191189359.5,101329.5603,23,GOLCHE,24,Sindhupalchok,Gloche,230024,Bagmati,Central,731,3611,1817,1794,18.82
C-BAG-23-025,313389147.6,91879.6426,23,GUMBA,25,Sindhupalchok,Gumba,230025,Bagmati,Central,674,3431,1727,1704,10.91
C-BAG-23-026,24243258.72,21930.5224,23,GUNSAKOT,26,Sindhupalchok,Gunsakot,230026,Bagmati,Central,449,1902,1000,902,78.45
C-BAG-23-027,32612760.25,28267.03192,23,HAGAM,27,Sindhupalchok,Hagam,230027,Bagmati,Central,818,3847,1874,1973,117.96
C-BAG-23-028,14526615.02,19674.42742,23,HAIBUNG,28,Sindhupalchok,Haibung,230028,Bagmati,Central,576,2484,1174,1310,170.95
C-BAG-23-029,185977675.4,72717.40728,23,HELAMBU,29,Sindhupalchok,Helumbu,230029,Bagmati,Central,656,2564,1258,1306,13.77
C-BAG-23-030,37133956.53,28458.43992,23,ICHOK,30,Sindhupalchok,Ichok,230030,Bagmati,Central,1270,5387,2630,2757,144.82
C-BAG-23-031,12440234.72,20928.73196,23,IRKHU,31,Sindhupalchok,Irkhu,230031,Bagmati,Central,751,3443,1555,1888,276.77
C-BAG-23-032,7087914.979,12261.46097,23,JALBIRE,32,Sindhupalchok,Jalbire,230032,Bagmati,Central,611,2540,1228,1312,358.35
C-BAG-23-033,10420153.43,19149.28725,23,JETHAL,33,Sindhupalchok,Jethal,230033,Bagmati,Central,620,2553,1223,1330,245
C-BAG-23-034,19664430.02,20842.24864,23,JYAMIRE,34,Sindhupalchok,Jyamire,230034,Bagmati,Central,1199,5553,2670,2883,282.39
C-BAG-23-035,13862683.8,17328.72702,23,KADAMBAS,35,Sindhupalchok,Kadambas,230035,Bagmati,Central,834,3372,1472,1900,243.24
C-BAG-23-036,11158915.42,18927.21698,23,KALIKA,36,Sindhupalchok,Kalika,230036,Bagmati,Central,545,2251,979,1272,201.72
C-BAG-23-037,26101366.45,25555.10058,23,KARTHALI,37,Sindhupalchok,Karthali,230037,Bagmati,Central,836,3347,1608,1739,128.23
C-BAG-23-038,26091817.98,25691.62899,23,KIUAL,38,Sindhupalchok,Kiwool,230038,Bagmati,Central,764,2950,1444,1506,113.06
C-BAG-23-039,7930891.041,13673.77227,23,KUBHINDE,39,Sindhupalchok,Kubhinde,230039,Bagmati,Central,693,3009,1447,1562,379.39
